ID,Name,Rarity,Description,Type,BelongsTo,AddsTraitType,AddsModifierIds,IsActive,LocalizationGlue
,Oppressor,Epic,Add the following trait to your Civ card: +7 Combat Strength for all units when fighting city-states and their units.,Power,Germany,,TRAIT_COMBAT_BONUS_CITY_STATES,,"LOC_TRAIT_LEADER_HOLY_ROMAN_EMPEROR_DESCRIPTION,2"
,War Games,Rare,Add the following trait to your Civ card: Gains an additional Military policy slot in all Governments.,Power,Germany,,TRAIT_MILITARY_GOVERNMENT_SLOT,,"LOC_TRAIT_LEADER_HOLY_ROMAN_EMPEROR_DESCRIPTION,1"
,Horses for Courses,Uncommon,Add the following trait to your Civ card: Cavalry class units have a chance to capture defeated cavalry class enemy units.,Power,Mongolia,,TRAIT_CAVALRY_CAPTURE_CAVALRY,,
,Popularity Contest,Uncommon,Add the following trait to your Civ card: Enemies receive double war weariness from fighting against you.,Power,India,,TRAIT_INCREASE_ENEMY_WAR_WEARINESS,,"LOC_TRAIT_LEADER_SATYAGRAHA_EXPANSION2_DESCRIPTION,2"
,Poseidon,Rare,Add the following trait to your Civ card: May purchase naval units with Faith.,Power,Indonesia,,TRAIT_NAVAL_MELEE_FAITH|TRAIT_NAVAL_RANGED_FAITH|TRAIT_NAVAL_RAIDER_FAITH|TRAIT_NAVAL_CARRIER_FAITH,,"LOC_TRAIT_LEADER_EXALTED_GODDESS_DESCRIPTION,1"
,Viking Raid,Rare,"Add the following trait to your Civ card: Gains the Viking Longship unique unit with Sailing. All naval melee units gain the ability to perform Coastal Raids. Receive Science in addition to Gold when pillaging and coastal raiding Mines and Culture in addition to Faith when pillaging and coastal raiding Quarries, Pastures, Plantations, and Camps.",Power,Norway,TRAIT_LEADER_UNIT_NORWEGIAN_LONGSHIP,TRAIT_GRANT_COASTAL_RAID_ABILITY|TRAIT_LEADER_PILLAGE_SCIENCE_MINES|TRAIT_LEADER_PILLAGE_CULTURE_QUARRIES|TRAIT_LEADER_PILLAGE_CULTURE_PLANTATIONS|TRAIT_LEADER_PILLAGE_CULTURE_PASTURES|TRAIT_LEADER_PILLAGE_CULTURE_CAMPS,,
,Shipbuilders,Uncommon,Add the following trait to your Civ card: +50% Production toward naval melee units.,Power,Norway,,TRAIT_ANCIENT_NAVAL_MELEE_PRODUCTION|TRAIT_CLASSICAL_NAVAL_MELEE_PRODUCTION|TRAIT_MEDIEVAL_NAVAL_MELEE_PRODUCTION|TRAIT_RENAISSANCE_NAVAL_MELEE_PRODUCTION|TRAIT_INDUSTRIAL_NAVAL_MELEE_PRODUCTION|TRAIT_MODERN_NAVAL_MELEE_PRODUCTION|TRAIT_ATOMIC_NAVAL_MELEE_PRODUCTION|TRAIT_INFORMATION_NAVAL_MELEE_PRODUCTION,,
,Coast Guard,Rare,Add the following trait to your Civ card: +5 Combat Strength for land units and naval units fighting on coastal and shallow water tiles,Power,Japan,,TRAIT_COMBAT_BONUS_LAND_ON_COAST|TRAIT_COMBAT_BONUS_NAVAL_SHALLOW_WATER,,"LOC_TRAIT_LEADER_DIVINE_WIND_EXPANSION2_DESCRIPTION,1"
,Battle Ready,Rare,Add the following trait to your Civ card: Encampment districts are built in half the time.,Power,Japan,,TRAIT_BOOST_ENCAMPMENT_PRODUCTION,,
,Holy Grail,Rare,"Add the following trait to your Civ card: Relics grant +4 Gold, +2 Culture and +2 Faith.",Power,Poland,,TRAIT_LITHUANIANUNION_FAITH_RELIC|TRAIT_LITHUANIANUNION_CULTURE_RELIC|TRAIT_LITHUANIANUNION_GOLD_RELIC,,"LOC_TRAIT_LEADER_LITHUANIAN_UNION_DESCRIPTION,2"
,Holy River,Rare,Add the following trait to your Civ card: Holy Sites receive a +2 adjacency bonus from Rivers and grant 2 Housing if built next to a River,Power,Khmer,,TRAIT_MONASTERIES_KING_HOLY_SITE_RIVER_ADJACENCY|TRAIT_HOLY_SITE_RIVER_2HOUSING,,
,I Can See Clearly Now,Uncommon,Add the following trait to your Civ card: +1 Sight for all units.,Power,Portugal,,TRAIT_JOAO_EXTRA_SIGHT,,"LOC_TRAIT_LEADER_JOAO_III_DESCRIPTION,1"
,Theme Scheme,Rare,Add the following trait to your Civ card: Buildings with at least three Great Work slots and wonders with at least two Great Work slots are automatically themed when all slots are filled.,Power,Sweden,TRAIT_LEADER_KRISTINA_AUTO_THEME,,,"LOC_TRAIT_LEADER_KRISTINA_AUTO_THEME_DESCRIPTION,1"
,Economic Growth,Rare,Add the following trait to your Civ card: Gains an additional Economic policy slot in all Governments.,Power,Mongolia,,TRAIT_ECONOMIC_GOVERNMENT_SLOT,,"LOC_TRAIT_LEADER_KUBLAI_DESCRIPTION,1"
,Turtle,Uncommon,Add the following trait to your Civ card: +5 Combat Strength for all of your units within six tiles of your Capital.,Power,Maya,,TRAIT_LEADER_NEARBY_CITIES_GAIN_ABILITY,,"LOC_TRAIT_LEADER_MUTAL_DESCRIPTION,3"
,Helping Hand,Rare,Add the following trait to your Civ card: Non-capital cities within 6 tiles of your capital receive a Builder when founded.,Power,Maya,,TRAIT_LEADER_NEARBY_CITIES_GAIN_BUILDER,,
,Black Army,Rare,Add the following trait to your Civ card: Gains the Black Army unique unit with Castles.,Power,Hungary,TRAIT_LEADER_UNIT_MATTHIAS_BLACK_ARMY,,,"LOC_TRAIT_LEADER_RAVEN_KING_DESCRIPTION,3"
,Hill Start,Uncommon,Add the following trait to your Civ card: +4 Combat Strength for all of your units when fighting on hills.,Power,Ethiopia,,TRAIT_HILLS_COMBAT,,"LOC_TRAIT_LEADER_MENELIK_DESCRIPTION,2"
,Magnanimous,Rare,Add the following trait to your Civ card: Recruiting or patronizing a Great Person refunds 20% of their point cost.,Power,Brazil,TRAIT_LEADER_MAGNANIMOUS,,,"LOC_TRAIT_LEADER_MAGNANIMOUS_DESCRIPTION,0"
,Worshipping Costs,Rare,Add the following trait to your Civ card: The Worship building for your Religion is 90% cheaper to purchase with Faith.,Power,Arabia,,TRAIT_RELIGIOUS_BUILDING_DISCOUNT,,"LOC_TRAIT_LEADER_RIGHTEOUSNESS_OF_FAITH_DESCRIPTION,1"
,Campaña Admirable,Epic,"Add the following trait to your Civ card: Entering a new era grants a Comandante General, a unique type of Great Person",Power,Gran Colombia,TRAIT_LEADER_CAMPANA_ADMIRABLE,,,"LOC_TRAIT_LEADER_CAMPANA_ADMIRABLE_DESCRIPTION_XP1,0"
,Pargali Ibrahim,Rare,"Add the following trait to your Civ card: Has access to a unique Governor, Ibrahim, the Grand Vizier.",Power,Ottoman,TRAIT_LEADER_SULEIMAN_GOVERNOR,,,"LOC_TRAIT_LEADER_SULEIMAN_GOVERNOR_DESCRIPTION,1"
,New Soldier,Rare,Add the following trait to your Civ card: Gains the Janissary unique unit with Gunpowder.,Power,Ottoman,TRAIT_LEADER_UNIT_SULEIMAN_JANISSARY,,,
,Cowboy,Rare,Add the following trait to your Civ card: Gains the Rough Rider unique unit with Ballistics.,Power,America,TRAIT_LEADER_UNIT_AMERICAN_ROUGH_RIDER,,,"LOC_TRAIT_LEADER_ROOSEVELT_COROLLARY_ROUGH_RIDER_DESCRIPTION,3"
,Kick 'Em When They're Down,Rare,Add the following trait to your Civ card: +5 Combat Strength for all units when attacking wounded units. ,Power,Scythia,,BONUS_VS_WOUNDED_UNITS,,"LOC_TRAIT_LEADER_KILLER_OF_CYRUS_DESCRIPTION,1"
,"Less Attitude, More Altitude",Uncommon,Add the following trait to your Civ card: Citizens can work Mountain tiles.,Power,Inca,,TRAIT_WORK_GRASS_MOUNTAIN|TRAIT_WORK_PLAINS_MOUNTAIN|TRAIT_WORK_DESERT_MOUNTAIN|TRAIT_WORK_TUNDRA_MOUNTAIN|TRAIT_WORK_SNOW_MOUNTAIN,,"LOC_TRAIT_CIVILIZATION_GREAT_MOUNTAINS_DESCRIPTION,1"
,"Always Work, Don't Everest",Epic,"Add the following trait to your Civ card: Citizens can work Mountain tiles. Mountain tiles provide +2 Production, increasing to +3 Production after reaching the Industrial Era.",Power,Inca,,TRAIT_WORK_GRASS_MOUNTAIN|TRAIT_WORK_PLAINS_MOUNTAIN|TRAIT_WORK_DESERT_MOUNTAIN|TRAIT_WORK_TUNDRA_MOUNTAIN|TRAIT_WORK_SNOW_MOUNTAIN|TRAIT_PRODUCTION_MOUNTAIN|TRAIT_PRODUCTION_MOUNTAIN_LATE,,"LOC_TRAIT_CIVILIZATION_GREAT_MOUNTAINS_DESCRIPTION,1,2"
